date,index,price,lm_unemployment,lm_fed_rate,lm_cpi
4-Sep,212,1412.74,5.4,1.43,189.2
4-Oct,211,1486.72,5.4,1.61,189.8
4-Nov,210,1571.5,5.5,1.76,190.8
4-Dec,209,1621.12,5.4,1.93,191.7
5-Jan,208,1519.63,5.4,2.16,191.7
5-Feb,207,1511.02,5.3,2.28,191.6
5-Mar,206,1482.53,5.4,2.5,192.4
5-Apr,205,1420.79,5.2,2.63,193.1
5-May,204,1542.63,5.2,2.79,193.7
5-Jun,203,1493.52,5.1,3,193.6
5-Jul,202,1605.14,5,3.04,193.7
5-Aug,201,1581.71,5,3.26,194.9
5-Sep,200,1601.66,4.9,3.5,196.1
5-Oct,199,1579.18,5,3.62,198.8
5-Nov,198,1672.56,5,3.78,199.1
5-Dec,197,1645.2,5,4,198.1
6-Jan,196,1710.75,4.9,4.16,198.1
6-Feb,195,1670.57,4.7,4.29,199.3
6-Mar,194,1703.66,4.8,4.49,199.4
6-Apr,193,1700.71,4.7,4.59,199.7
6-May,192,1579.58,4.7,4.79,200.7
6-Jun,191,1575.23,4.6,4.94,201.3
6-Jul,190,1509.43,4.6,4.99,201.8
6-Aug,189,1579.73,4.7,5.24,202.9
6-Sep,188,1654.13,4.7,5.25,203.8
6-Oct,187,1732.54,4.5,5.25,202.8
6-Nov,186,1791.25,4.4,5.25,201.9
6-Dec,185,1756.9,4.5,5.25,202
7-Jan,184,1792.28,4.4,5.24,203.1
7-Feb,183,1761.65,4.6,5.25,203.437
7-Mar,182,1772.36,4.5,5.26,204.226
7-Apr,181,1867.75,4.4,5.26,205.288
7-May,180,1928.19,4.5,5.25,205.904
7-Jun,179,1934.1,4.4,5.25,206.755
7-Jul,178,1932.06,4.6,5.25,207.234
7-Aug,177,1988.73,4.7,5.26,207.603
7-Sep,176,2091.11,4.6,5.02,207.667
7-Oct,175,2238.98,4.7,4.94,208.547
7-Nov,174,2089.1,4.7,4.76,209.19
7-Dec,173,2084.93,4.7,4.49,210.834
8-Jan,172,1841.42,5,4.24,211.445
8-Feb,171,1745.27,5,3.94,212.174
8-Mar,170,1781.93,4.9,2.98,212.687
8-Apr,169,1917.7,5.1,2.61,213.448
